Partlist

Exported from charginator_v1.sch at 01.04.2020 11:05

EAGLE Version 9.3.0 Copyright (c) 1988-2019 Autodesk, Inc.

Assembly variant: 

Part     Value                   Device                  Package             Library             Sheet

C1       100n                    C-EUC1206               C1206               resistor            1
C2       100n                    C-EUC1206               C1206               resistor            2
C3       1u                      C-EUC1206               C1206               resistor            4
C4       100n                    C-EUC1206               C1206               resistor            4
C5       10u                     C-EUC1206               C1206               resistor            4
C6       22u                     C-EUC1206               C1206               resistor            4
C7       100n                    C-EUC1206               C1206               resistor            2
C8       100n                    C-EUC1206               C1206               resistor            1
C9       10u                     C-EUC1206               C1206               resistor            4
C10      22u                     C-EUC1206               C1206               resistor            4
C11      1u                      C-EUC1206               C1206               resistor            4
C12      100n                    C-EUC1206               C1206               resistor            4
C13      10u                     C-EUC1206               C1206               resistor            4
C14      22u                     C-EUC1206               C1206               resistor            4
C15      10u                     C-EUC1206               C1206               resistor            4
C16      22u                     C-EUC1206               C1206               resistor            4
C17      1000u                   CPOL-EUE5-10.5          E5-10,5             resistor            1
C18      1000u                   CPOL-EUE5-13            E5-13               resistor            1
C29      1u                      C-EUC1206               C1206               resistor            3
C30      100n                    C-EUC1206               C1206               resistor            3
C31      10u                     C-EUC1206               C1206               resistor            3
C32      22u                     C-EUC1206               C1206               resistor            3
C33      10u                     C-EUC1206               C1206               resistor            3
C34      22u                     C-EUC1206               C1206               resistor            3
C35      1u                      C-EUC1206               C1206               resistor            3
C36      100n                    C-EUC1206               C1206               resistor            3
C37      10u                     C-EUC1206               C1206               resistor            3
C38      22u                     C-EUC1206               C1206               resistor            3
C39      10u                     C-EUC1206               C1206               resistor            3
C40      22u                     C-EUC1206               C1206               resistor            3
F1       6V/2A                   PPTC_HALF-AMP           1206                SparkFun-Fuses      2
F2       6V/2A                   PPTC_HALF-AMP           1206                SparkFun-Fuses      1
F3       6V/2A                   PPTC_HALF-AMP           1206                SparkFun-Fuses      1
F4       6V/2A                   PPTC_HALF-AMP           1206                SparkFun-Fuses      1
F5       6V/2A                   PPTC_HALF-AMP           1206                SparkFun-Fuses      1
F6       6V/2A                   PPTC_HALF-AMP           1206                SparkFun-Fuses      2
F7       6V/2A                   PPTC_HALF-AMP           1206                SparkFun-Fuses      2
F8       12V/2A                  PPTC_HALF-AMP           1206                SparkFun-Fuses      4
